"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: mzCloud Search"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"# mzCloud Results"	"mzCloud Best Match"	"Mass List Match: CD_library_noRT"	"mzCloud Best Sim. Match"	"Area: BQC01.raw (F1)"	"Area: BQC02.raw (F2)"	"Area: BQC03.raw (F3)"	"Area: BQC04.raw (F4)"	"Area: BQC05.raw (F5)"	"Area: BQC06.raw (F6)"	"Area: BQC07.raw (F7)"	"Area: BQC08.raw (F8)"	"Area: BQC09.raw (F9)"	"Area: BQC10.raw (F10)"	"Area: BQC11.raw (F11)"	"Area: BQC12.raw (F12)"	"Area: BQC13.raw (F13)"	"Area: BQC14.raw (F14)"	"Area: BQC15.raw (F15)"	"Area: BQC16.raw (F16)"	"Area: BQC17.raw (F17)"	"Area: BQC18.raw (F18)"	"Area: BQC19.raw (F19)"	"Area: BQC20.raw (F20)"	"Area: BQC21.raw (F21)"	"Area: BQC22.raw (F22)"	"Area: BQC23.raw (F23)"	"Area: BQC24.raw (F24)"	"Area: BQC25.raw (F25)"	"Area: BQC26.raw (F26)"	"Area: BQC27.raw (F27)"	"Area: BQC28.raw (F28)"	"Area: BQC29.raw (F29)"	"Area: BQC30.raw (F30)"	"Area: BQC31.raw (F31)"	"Area: BQC32.raw (F32)"	"Area: BQC33.raw (F33)"	"Area: BQC34.raw (F34)"	"Area: BQC35.raw (F35)"	"Area: BQC36.raw (F36)"	"Area: BQC37.raw (F37)"	"Area: BQC38.raw (F38)"	"Area: BQC39.raw (F39)"	"Area: BQC40.raw (F40)"	"Area: BQC41.raw (F41)"	"Area: BQC42.raw (F42)"	"Area: BQC43.raw (F43)"	"Area: BQC44.raw (F44)"	"Area: BQC45.raw (F45)"	"Area: BQC47.raw (F46)"	"Area: TQC01.raw (F47)"	"Area: TQC03.raw (F48)"	"Area: TQC04.raw (F49)"	"Area: TQC06.raw (F50)"	"Area: TQC07.raw (F51)"	"Area: TQC08.raw (F52)"	"Area: TQC09.raw (F53)"	"Area: TQC10.raw (F54)"	"Area: TQC11.raw (F55)"	"Area: TQC12.raw (F56)"	"Area: TQC13.raw (F57)"	"Area: TQC14.raw (F58)"	"Area: TQC15.raw (F59)"	"Area: TQC16.raw (F60)"	"Area: TQC17.raw (F61)"	"Area: TQC18.raw (F62)"	"Area: TQC19.raw (F63)"	"Area: TQC20.raw (F64)"	"Area: TQC21.raw (F65)"	"Area: TQC22.raw (F66)"	"Area: TQC23.raw (F67)"	"Area: TQC24.raw (F68)"	"Area: TQC25.raw (F69)"	"Area: TQC26.raw (F70)"	"Area: TQC27.raw (F71)"	"Area: TQC28.raw (F72)"	"Area: TQC29.raw (F73)"	"Area: TQC30.raw (F74)"	"Area: TQC31.raw (F75)"	"Area: TQC32.raw (F76)"	"Area: TQC33.raw (F77)"	"Area: TQC34.raw (F78)"	"Area: TQC35.raw (F79)"	"Area: TQC36.raw (F80)"	"Area: TQC37.raw (F81)"	"Area: TQC38.raw (F82)"	"Area: TQC39.raw (F83)"	"Area: TQC40.raw (F84)"	"Area: TQC41.raw (F85)"	"Area: TQC42.raw (F86)"	"Area: TQC43.raw (F87)"	"Area: TQC45.raw (F88)"	"Area: TQC46.raw (F89)"	"Area: TQC47.raw (F90)"
"False"	"Zuclopenthixol"	"C22 H25 Cl N2 O S"	"No match"	"Invalid mass"	"No results"	"400.12542"	"1.109"	"31828.7230509875"	"4"	"99.9"	"No matches found"	""	"22432.1735673217"	""	""	""	""	""	""	""	"18513.7120215572"	""	""	"5880.8528011874"	""	""	"21533.8302407432"	"23250.9539148778"	""	""	"3706.8039297644"	""	""	"14936.7659574337"	""	"11000.3917903005"	"4791.84906071568"	"20209.7859147212"	"21917.4555676449"	"6252.17409506709"	"22308.2593675192"	""	"21059.320635429"	"6212.48764454591"	"25832.8478079217"	"25902.0543222143"	"9361.83297280079"	"9345.37230411766"	""	""	""	""	""	""	""	""	""	""	"20443.1061266337"	""	""	""	""	""	""	""	""	"16948.1445274634"	""	""	""	""	""	""	""	""	"17360.8630041016"	"18355.1299711814"	""	"18837.6014924033"	"19496.4435435127"	"23021.3155273458"	"22174.6740835348"	"22419.3984909189"	"19687.3596210136"	"21615.7405165586"	"22399.8994030252"	"8620.47263979661"	"8544.70345067614"	"27080.1827083698"	"31828.7230509875"	"29447.4044846512"	""	""	""	""	""	""	""	""	""	""
"False"	"Zuclopenthixol"	"C22 H25 Cl N2 O S"	"No match"	"Invalid mass"	"No results"	"400.14937"	"1.160"	"54969.5825402766"	"6"	"99.8"	"No matches found"	""	"22360.5257858709"	"19839.162402197"	"9307.45639181914"	"12484.4244660293"	"20512.5025389847"	"20474.4373553246"	"14461.5051139473"	"54969.5825402766"	"16889.6894267125"	"17592.8798376844"	"13588.8063326405"	"15422.1870264927"	""	""	"17501.459908888"	""	""	""	"16206.8269352966"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8506.32200912224"	"8522.59040519322"	"10839.8920827716"	"15883.3015294238"	"20088.2468151079"	"17598.0330126349"	"17003.5629117493"	"23584.5671274313"	"18421.3852285387"	"19627.813342445"	""	""	"22813.3775283682"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"Victoria Pure Blue BO"	"C33 H39 N3"	"Full match"	"Full match"	"No results"	"477.31330"	"1.881"	"225077.938401027"	"2"	"99.1"	"No matches found"	""	"94640.6254913557"	"45065.0256556379"	"43045.1967795106"	"119537.225075168"	"49053.9944123982"	"28649.4659300939"	"18239.5906795171"	"12581.2918377298"	""	"15914.7558775856"	"30947.3054562989"	"28441.3629276275"	""	"11283.9722548267"	"23946.5151136385"	"56176.087531258"	""	""	"90525.5114346932"	"48969.1935181945"	"8757.05578561254"	"32633.3848027769"	"99548.2147601943"	"14325.0677803811"	"59053.5402133915"	""	""	"225077.938401027"	"44389.1038773063"	"112921.344743931"	"35369.783097905"	"127943.342890426"	"43015.3129043753"	"62639.2155517386"	"36018.7864384489"	"50520.0005178172"	"193771.203257818"	"38541.7775306359"	""	""	""	""	""	"12039.7399944741"	""	""	"39668.4720167532"	"18477.2375422399"	"38833.0634352076"	"34389.4504736049"	"33356.0129534968"	"36517.622638492"	"35030.8150945223"	"31529.6836092778"	"32579.8064438671"	"32224.4510747462"	""	""	"38523.183204538"	""	""	"41206.9842478797"	"42420.9789084796"	"40894.9395462899"	"51422.7912976676"	"50510.9937891981"	""	"37508.5488459322"	"65588.4587154399"	"65231.160533312"	"64312.3657085959"	"66119.4743588399"	"67775.1002937493"	"70578.1780218864"	"80293.5025465105"	"84455.6733162739"	"80955.4243920208"	"91099.4543512327"	"94791.5703193291"	"93274.2010253521"	""	""	"28942.1841976816"	"30555.3673148845"	"29387.050222758"	"31971.3690537569"	"30754.2520627033"	"34329.5431964792"	"35928.1625765271"	"36169.3775530024"
"False"	"Verapamil"	"C27 H38 N2 O4"	"No match"	"Invalid mass"	"No results"	"454.27047"	"4.439"	"142678.956310456"	"2"	"97.5"	"No matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"130630.815277069"	"97853.0358966339"	"99270.4001015308"	"97564.9300977666"	"119484.915820149"	"87614.8426469544"	"87665.8443326028"	"121296.550561005"	"129728.350975218"	"19980.7737819831"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"100863.736494149"	"95840.6007413082"	"111465.706872826"	"113804.237813368"	"99930.8328284368"	"140172.218140976"	"126361.191138674"	"130432.157314565"	"142678.956310456"	"139295.789728713"
"False"	"Triphenyl phosphate"	"C18 H15 O4 P"	"Not the top hit"	"Full match"	"No results"	"326.06975"	"1.691"	"38100.3231812397"	"2"	"92.4"	"No matches found"	""	"22931.5745525011"	""	""	""	""	"7988.14126827382"	"6575.716040684"	"9707.82817664135"	""	""	"8084.72223687975"	""	""	""	"13816.5461316047"	"10602.4558504229"	""	"14379.7884186034"	"13515.5472905284"	"11650.5373285904"	"11738.5164906357"	"35531.4932254795"	"8889.82267662369"	"24171.4409859377"	"7782.28703640719"	"11098.0775209507"	"10025.9322281384"	""	""	"8896.77103331903"	"9482.89881945341"	"9601.23793329005"	"18626.9546238518"	"38100.3231812397"	""	"9027.89717021546"	"12479.0331825508"	""	""	""	""	""	""	""	""	""	"6679.21594825379"	""	"6836.69672364253"	"11191.1151923938"	"9834.50000646698"	"17382.4279516492"	"9518.48012712362"	"9846.14905353319"	"8534.7232479773"	"8316.01397443312"	""	""	"15971.3653743361"	""	""	"14125.0689686661"	"14596.0935622472"	"13513.3015203258"	"17590.9848705788"	"14422.2606132744"	""	"16042.7336377428"	"11889.6723683391"	"11104.269239818"	"10816.7067220169"	"11657.780546708"	"11598.1145336665"	"11187.4334414933"	"12764.3464890064"	"11378.8345851647"	"13252.9815562298"	"14313.226551817"	"11885.4263288807"	"13402.4894708033"	""	""	""	""	""	""	""	""	""	""
"False"	"Trimipramine N-oxide"	"C20 H26 N2 O"	"No match"	"Invalid mass"	"No results"	"310.21102"	"1.731"	"65218.745630213"	"1"	"73.2"	"No matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"65218.745630213"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"Trimipramine N-oxide"	"C20 H26 N2 O"	"No match"	"Invalid mass"	"No results"	"310.21086"	"1.546"	"229580.86363342"	"1"	"76.5"	"No matches found"	""	"57116.1221936829"	"35602.9123151675"	"46955.3972197162"	"40107.2464817751"	"48356.9950176647"	"48703.2769865277"	"53500.6712747249"	"57490.5243834193"	"41282.367322991"	"55056.1583978972"	"50127.3062819189"	"79987.5052386525"	"5599.28140448134"	"14778.8301864949"	"51255.8940094218"	"48809.3768639088"	""	""	"64879.9963680073"	"56395.2041525266"	"88881.8998918488"	"103211.35706867"	"101024.640760132"	"95287.3956481588"	"170886.779622249"	"147746.490445416"	"162402.815633698"	"146603.068585668"	"135896.232217265"	"135691.068809977"	"185049.662885037"	"198697.916126889"	"169252.784659622"	"162240.835210978"	"154762.489136238"	"163065.247467536"	""	""	""	""	""	""	""	""	""	""	"43748.5267690333"	"21388.87149821"	"48176.3288376956"	"58105.107684197"	"64024.2237334672"	"59018.0274985432"	"74366.8920400042"	"61369.7915438517"	"59172.4572699497"	"68221.0911757793"	""	""	"59216.5686413481"	""	""	"63529.1456028783"	"83210.1446241607"	"79123.1692941412"	"88050.6685283302"	"85098.7211149524"	""	"99730.0349577921"	"229580.86363342"	"189647.452331749"	"175942.558022421"	"163960.082525264"	"108576.004505377"	"115651.679021666"	"161048.604228363"	"184452.723169866"	"163759.855167236"	"171188.071729515"	"162448.354181931"	"161658.291425943"	""	""	""	""	""	""	""	""	""	""
"False"	"Thiamine"	"C12 H16 N4 O S"	"Full match"	"Full match"	"No results"	"264.10432"	"1.180"	"379190.166802156"	"2"	"99.9"	"No matches found"	""	""	"75999.0700939295"	"80614.3870344342"	"68199.8948711096"	"89316.0952834765"	""	""	""	"75673.9734600738"	""	""	""	"16576.4783463761"	"35031.6191298293"	"67120.0325602432"	"78933.9520275643"	""	""	""	"49569.1907461949"	""	"51141.690534308"	""	"37359.9137271594"	""	""	"75126.5304147204"	"73117.798995105"	"65446.2801659465"	""	"80656.1633363139"	"75978.265672377"	""	"113932.957042001"	""	"116532.459393609"	"111689.198812642"	"147303.645405855"	"116669.539921007"	"131212.418493073"	"141433.027418065"	"116899.943452044"	"114030.553488056"	"129379.955363285"	"126504.390913625"	"379190.166802156"	"85496.3805142109"	""	"80120.7862560571"	"84815.6337918463"	""	"75510.888595923"	"72752.4900077502"	""	""	""	"12993.1086443387"	""	""	""	""	""	""	""	"86372.1842282737"	""	""	""	""	"68135.5451276555"	"74571.4891568955"	""	""	"86508.0461381654"	""	""	"117725.896182732"	"108623.473256735"	"119459.017442533"	"110566.246637575"	"246065.951653367"	"194392.790602029"	"157004.686074854"	"141578.856845491"	"145420.464240985"	"133090.157824961"	"142284.996864783"	"139754.327698155"	"128956.702285673"	"141910.121095502"
"False"	"Tamsulosin"	"C20 H28 N2 O5 S"	"No match"	"Invalid mass"	"No results"	"408.17513"	"1.124"	"15586.7279459936"	"4"	"96.7"	"No matches found"	""	""	""	""	""	""	""	"12088.5947963112"	"15586.7279459936"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3598.86654225501"	""	""	"4512.99478315871"	""	""	""	""	""	""	""	""	""	""
"False"	"Sudan III"	"C22 H16 N4 O"	"No match"	"Invalid mass"	"No results"	"352.13635"	"1.169"	"185446.925069535"	"3"	"99.1"	"No matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"185446.925069535"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7873.26004508477"	"9770.66382775626"	"9481.27851825725"	"8445.39087142846"	"7509.01661367415"	"7096.7446231098"	"12952.8137471988"	"14117.2142110647"	"11895.7719074116"	"15669.6554477972"	"13145.1823458088"	"14843.2204824649"	""	""	""	""	""	""	""	""	""	""
