Name,Formula
Cer(d12:0_25:1),C37 H73 O3 N1
Cer(d13:0_25:1),C38 H75 O3 N1
Cer(d14:1_20:0),C34 H67 O3 N1
Cer(d14:1_22:0),C36 H71 O3 N1
Cer(d14:1_23:0),C37 H73 O3 N1
Cer(d14:1_24:0),C38 H75 O3 N1
Cer(d14:2_20:1),C34 H63 O3 N1
Cer(d14:2_22:0),C36 H69 O3 N1
Cer(d15:0_19:1),C34 H67 O3 N1
Cer(d15:0_23:1),C38 H75 O3 N1
Cer(d16:0_20:1),C36 H71 O3 N1
Cer(d16:1_20:0),C36 H71 O3 N1
Cer(d16:1_22:0),C38 H75 O3 N1
Cer(d17:0_21:1),C38 H75 O3 N1
Cer(d20:0_18:1),C38 H75 O3 N1
Cer(d23:0_16:1+2O),C39 H77 O5 N1
Cer(d23:2_21:4),C44 H77 O3 N1
Cer(d23:2_21:5),C44 H75 O3 N1
Cer(d24:1_18:1),C42 H81 O3 N1
Cer(d24:1_18:1+O),C42 H81 O4 N1
Cer(d24:2_18:0+O),C42 H81 O4 N1
Cer(d34:2),C34 H65 O3 N1
Cer(d36:1+O),C36 H71 O4 N1
Cer(d36:2),C36 H69 O3 N1
Cer(d38:1),C38 H75 O3 N1
Cer(d40:1),C40 H79 O3 N1
Cer(d42:2+O),C42 H81 O4 N1
Cer(d44:0),C44 H89 O3 N1
Cer(d44:6),C44 H77 O3 N1
Cer(d44:7),C44 H75 O3 N1
Cer(m21:1_15:0+O),C36 H71 O3 N1
Cer(m34:1+O),C34 H67 O3 N1
Cer(m36:1+O),C36 H71 O3 N1
Cer(t16:1_21:0+O),C37 H73 O5 N1
Cer(t18:1_26:5),C44 H77 O4 N1
Cer(t20:0_18:1+O),C38 H75 O5 N1
Cer(t20:1_15:0+O),C35 H69 O5 N1
Cer(t44:0+O),C44 H89 O5 N1
CerP(d14:2_25:0),C39 H76 O6 N1 P1
CerP(d20:0_19:0),C39 H80 O6 N1 P1
CerP(d21:2_18:0+O),C39 H76 O7 N1 P1
CerP(d22:1_18:2+2O),C40 H76 O8 N1 P1
CerP(d22:2_18:0+2O),C40 H78 O8 N1 P1
CerP(d24:0_15:0+O),C39 H80 O7 N1 P1
CerP(d24:1_18:2+2O),C42 H80 O8 N1 P1
CerP(d24:2_16:1+2O),C40 H76 O8 N1 P1
CerP(d26:0+O),C26 H54 O7 N1 P1
CerP(d30:3),C30 H56 O6 N1 P1
CerP(d38:6),C38 H66 O6 N1 P1
