"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n04.raw (F1)"	"Area: cbr_n18.raw (F2)"	"Area: cbr_n26.raw (F3)"	"Area: cbr_n40.raw (F4)"	"Area: cbr_n43.raw (F5)"	"Area: cbr_o06.raw (F6)"	"Area: cbr_o07.raw (F7)"	"Area: cbr_o14.raw (F8)"	"Area: cbr_o24.raw (F9)"	"Area: cbr_o27.raw (F10)"	"Area: cbr_o28.raw (F11)"	"Area: cbr_o44.raw (F12)"	"Area: cbr_o50.raw (F13)"	"Area: cbr_o51.raw (F14)"	"Area: ct_n09.raw (F15)"	"Area: ct_n19.raw (F16)"	"Area: ct_n20.raw (F17)"	"Area: ct_n32.raw (F18)"	"Area: ct_n37.raw (F19)"	"Area: ct_n39.raw (F20)"	"Area: ct_n48.raw (F21)"	"Area: ct_o16.raw (F22)"	"Area: ct_o17.raw (F23)"	"Area: ct_o30.raw (F24)"	"Area: ct_o33.raw (F25)"	"Area: ct_o38.raw (F26)"	"Area: ct_o42.raw (F27)"	"Area: ct_o46.raw (F28)"	"Area: ct_o53.raw (F29)"	"Area: s06_02.raw (F30)"	"Area: s06_10.raw (F31)"	"Area: s06_13.raw (F32)"	"Area: s06_25.raw (F33)"	"Area: s06_31.raw (F34)"	"Area: s06_35.raw (F35)"	"Area: s06_41.raw (F36)"	"Area: s06_47.raw (F37)"	"Area: s06_54.raw (F38)"	"Area: syd_n01.raw (F39)"	"Area: syd_n03.raw (F40)"	"Area: syd_n12.raw (F41)"	"Area: syd_n23.raw (F42)"	"Area: syd_n34.raw (F43)"	"Area: syd_n36.raw (F44)"	"Area: syd_n49.raw (F45)"	"Area: syd_n52.raw (F46)"	"Area: syd_n55.raw (F47)"	"Area: syd_o05.raw (F48)"	"Area: syd_o11.raw (F49)"	"Area: syd_o15.raw (F50)"	"Area: syd_o21.raw (F51)"	"Area: syd_o22.raw (F52)"	"Area: syd_o29.raw (F53)"	"Area: syd_o45.raw (F54)"	"Area: syd_o58.raw (F55)"
"False"	"Cer(d13:0_25:1)"	"C38 H75 N O3"	"Full match"	"Full match"	"593.57368"	"16.333"	"216455.927105813"	"Multiple matches found"	""	""	""	""	"181605.594961113"	""	""	""	"83420.5379256915"	"216455.927105813"	""	""	""	""	""	"59794.237717907"	""	""	""	""	""	"54080.9253519278"	""	""	""	""	""	""	""	""	"147241.068480466"	"184882.5711157"	""	""	""	""	""	"179602.121891279"	"111754.233885862"	""	""	"105109.699842846"	""	""	""	""	""	"130128.102660728"	""	""	""	""	""	""	""
"False"	"Cer(d13:0_25:1)"	"C38 H75 N O3"	"Full match"	"Full match"	"593.57367"	"16.090"	"1632404.63878577"	"Multiple matches found"	"714180.098672926"	"350583.274355038"	"310495.116292809"	"500327.593740913"	"1504406.75257901"	"384521.228849301"	"189841.431627427"	"302854.713944575"	"297690.759472306"	"171320.466564231"	"400175.871767443"	"320178.388669258"	"478118.693908415"	"349135.699435131"	"59913.1941841894"	"260114.733401095"	"823023.699642935"	"604712.024123593"	"711329.631103506"	"203554.16524558"	"623203.419579631"	"228969.350273772"	"575846.225921573"	"319941.279339707"	"503710.79905357"	"346067.942069263"	"1438157.32269098"	"276929.458345701"	"535175.834296825"	"836844.382009364"	"341513.797744988"	"513623.012523304"	"549971.29768085"	"681448.763537869"	"83797.3081124516"	"1632404.63878577"	"624155.717575251"	"429575.445367754"	"379587.390568566"	"343846.399778157"	"619030.268796181"	"502541.785341204"	"458230.944485086"	"554001.201215202"	"616891.676100932"	"556319.943494978"	"119017.70784714"	"259283.076679486"	"532360.382766825"	"231826.42350602"	"214247.520837118"	"663347.300931813"	"187630.682245209"	"309967.902270505"	"436797.825905925"
"False"	"Cer(d14:2_22:0)"	"C36 H69 N O3"	"Full match"	"Full match"	"563.52686"	"13.093"	"1203244.89864949"	"Multiple matches found"	"870998.534989028"	"226351.745849603"	"94730.5703066863"	"555442.55605512"	"1087942.9364128"	"218268.450755821"	"100368.03766131"	"167888.769970688"	"151636.155211924"	"888361.676535998"	"798162.524202051"	"621166.675958031"	"306715.502996607"	"188142.77906437"	"15430.6553565918"	"137860.560592388"	"287369.038021854"	""	"608544.122696893"	"99791.6581137669"	"169080.893001254"	"781388.645887256"	"490318.262667868"	"394965.588183352"	"239713.437173187"	"360561.657307872"	"1203244.89864949"	"477636.601754976"	"279560.700916673"	"571156.306122335"	"167299.964580608"	"467227.535943687"	"276139.468334814"	"733368.519040944"	"203628.973251273"	"1036581.9436255"	"221279.945822025"	"190490.262273585"	"268270.722388692"	"162031.216203381"	"200715.301801163"	"394420.807074229"	"261659.218423561"	"239315.67897445"	"293392.868717283"	"343813.417884143"	"75250.0609713403"	"798640.25145308"	"578258.603135689"	"978540.504937582"	"253479.483931126"	"520582.959017264"	"328275.311780992"	"486143.143570365"	"518777.241346761"
"False"	"Cer(d23:0_16:1+2O)"	"C39 H77 N O5"	"Full match"	"Full match"	"639.57998"	"16.064"	"524469.032954604"	"Single match found"	"234482.597743055"	"169346.478938725"	"131928.633082052"	"200323.930686401"	"524469.032954604"	"96702.9637759776"	"66827.1881915809"	"156696.422484377"	"129405.950724299"	"108003.810075231"	"89466.1999990765"	"120087.430796671"	"143183.214302517"	"186295.261094916"	""	"67102.8379972264"	"200180.603836453"	"180610.272296344"	"199038.818845475"	"134682.297261009"	"200410.007638643"	"126173.525523608"	"257534.152702886"	"88128.0471273254"	"87184.9871707001"	"97332.2351291046"	"494414.764455548"	"153882.395088407"	"177748.472832456"	"261539.155447553"	"195354.027276753"	"204864.152266306"	"205515.728165323"	"160781.819670621"	""	"423677.025729726"	"267346.803922319"	"210814.697687339"	"139333.250390929"	"149983.949126019"	"252457.498395565"	"195425.815987636"	"153910.789250908"	"185700.506400136"	"199660.840853439"	"195642.344198604"	"46818.411790257"	"48132.8216643699"	"188804.476945721"	"112489.63008182"	"93665.9909399956"	"232220.52442381"	"127809.777946167"	"98370.1609473831"	"155418.546207057"
"False"	"Cer(d23:0_16:1+2O)"	"C39 H77 N O5"	"Not the top hit"	"Full match"	"639.57993"	"16.318"	"375527.939401806"	"Single match found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4075.71251901858"	""	"129545.237377982"	""	"88549.774932771"	""	"375527.939401806"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"Cer(d34:2)"	"C34 H65 N O3"	"Not the top hit"	"Full match"	"535.49568"	"10.521"	"1580937.46589712"	"Single match found"	"1008134.02421247"	"218370.543026848"	"133933.66398663"	"424135.426902337"	"693304.224950622"	"159735.750551415"	"115344.983243004"	"99234.8323565031"	"143949.33010306"	"390779.766922952"	"949683.450400013"	"820587.826174011"	"330647.955964456"	"233628.259700411"	"50658.963840522"	"82562.7468639432"	"145995.725701259"	"145584.518963177"	"1054509.09563677"	"81345.1420986006"	"121890.016737384"	"1007686.52852987"	"442197.537385438"	"402613.025008076"	"248257.688482807"	"559959.247228148"	"1580937.46589712"	"1016134.36319536"	"251931.13021855"	"491318.849826929"	"396144.502986353"	"517870.14256667"	"194066.894054724"	"825588.162498342"	"180041.474179998"	"647771.524878216"	"448855.210575003"	"156048.442829741"	"274632.924665842"	"114978.358587609"	"320630.28749392"	"365779.326047414"	"183500.574610028"	"264202.841446052"	"743630.757143078"	"369847.016793014"	"147944.136510499"	"869429.16940465"	"748413.762507763"	"1084156.78120192"	"124517.080048733"	"517477.303296513"	"168810.000844948"	"394890.348706672"	"780851.73585362"
"False"	"Cer(d36:1+O)"	"C36 H71 N O4"	"Not the top hit"	"Full match"	"581.53762"	"13.090"	"1488890.13481195"	"Single match found"	"1098170.22036181"	"78414.2073980111"	"65605.9838312076"	"218135.554352947"	"329734.409551863"	"168171.390463894"	"63543.765659287"	"116916.199950528"	"93140.0189674106"	"797492.834628865"	"1128593.651362"	"719682.5188824"	"174069.265336652"	"139072.600526115"	""	"91303.3495510109"	"173784.738158516"	"71247.5851420412"	"822919.656125965"	"54128.4074230346"	""	"765433.991421344"	"183931.061556881"	"622470.088851642"	"100076.145169169"	"249188.083476359"	"1138331.43744437"	"612956.951036111"	"89463.0035800455"	"106104.200053323"	"199744.350028604"	"260066.686107929"	"241638.150772634"	"82320.3089557533"	""	"318891.321932489"	"128792.773227449"	"101594.831441827"	"144826.743837127"	"61638.7751916355"	"114148.765745388"	"119199.460621968"	"252508.432194478"	"135327.606914942"	"160323.09337059"	"485747.049112875"	"34435.7812294883"	"1112728.77175507"	"1001450.28619593"	"1488890.13481195"	"131583.497231601"	"349553.122754142"	"254659.903258708"	"903762.529996228"	"658207.93094391"
"False"	"Cer(d40:1)"	"C40 H79 N O3"	"Not the top hit"	"Full match"	"621.60474"	"17.565"	"228813.84544247"	"Single match found"	"158648.494524065"	"26351.0994780752"	"21079.6531818466"	"79446.3329953963"	"188034.829233268"	"45244.6976606553"	"21407.7369240928"	"56434.85014377"	"48187.8532130763"	"52591.6344573706"	"34162.6297506117"	"38325.7754353477"	"66072.2390052771"	"37175.5850462845"	""	"32675.9152514557"	"70329.6412824814"	"70715.7447731499"	"70308.3206312501"	"36399.8834215822"	"56924.8102243116"	"37494.4698012943"	"34699.962884447"	"17083.5442170556"	"41126.4190556089"	"27036.2615939862"	"134624.380029069"	"32752.1847511025"	"57262.6163402909"	"92040.0711064423"	"39250.7927944355"	"82409.818943963"	"83029.0833175187"	"48163.0041417426"	""	"228813.84544247"	"93270.2927740668"	"75067.4772804036"	"45966.0317557315"	"44182.2753444366"	"57253.6436606553"	"72178.8549764216"	"35896.3551365199"	"33419.2463146391"	"40012.9775233521"	"70390.4173704987"	""	"12013.6946009942"	"39172.6420489591"	"16502.417977576"	"14690.2237834292"	"79657.6507751747"	"21631.1066080818"	"11137.0029363561"	"42230.2360255368"
"False"	"Cer(m34:1+O)"	"C34 H67 N O3"	"Full match"	"Full match"	"537.51103"	"11.540"	"555352.314641584"	"Multiple matches found"	"422917.938327941"	"199619.36190131"	"149135.945191096"	"163037.968991956"	"452850.999825995"	"160962.887851538"	"177062.770650508"	"131371.990466312"	"247043.524155615"	"200039.767905748"	"240667.25053599"	"240264.798458747"	"118306.918198101"	"130389.441124188"	"56506.4765449457"	"134477.507774431"	"175805.766956696"	"199446.349119295"	"323894.281364596"	"103819.437747492"	"159681.08073693"	"266366.714355026"	"278520.277207787"	"237617.690260722"	"249989.618785949"	"234207.770196722"	"555352.314641584"	"346888.08872488"	"163318.876470161"	"203864.955038838"	"158838.205142652"	"214042.707526007"	"246266.4699586"	"230531.433622668"	"196814.013166264"	"432991.086268122"	"206212.145792773"	"218092.86391273"	"151633.379645835"	"122308.498306233"	"197237.495516518"	"231993.249316432"	"239193.313669166"	"134958.819654114"	"545630.526939171"	"253528.265573098"	"104031.897084627"	"281849.259434764"	"364281.303501359"	"165584.403449986"	"209276.082412576"	"362381.792196473"	"166407.807205686"	"228090.966216793"	"195302.369496353"
"False"	"Cer(m36:1+O)"	"C36 H71 N O3"	"Full match"	"Full match"	"565.54247"	"14.212"	"2647627.47928435"	"Multiple matches found"	"1258555.96995097"	"406442.011727453"	"373520.62001742"	"619865.46759584"	"1337538.52235355"	"416620.587083561"	"219783.341270976"	"284968.248309837"	"386106.883045596"	"1229619.43630238"	"508022.701203327"	"1068284.8131347"	"445231.557202843"	"329671.123473583"	"129022.876612724"	"272692.376338142"	"737304.616075134"	"332868.221990115"	"650091.48825769"	"466869.741176455"	"248378.372975763"	"719124.724163421"	"651725.905998188"	"395038.391181481"	"623381.763606683"	"1147826.67014493"	"2647627.47928435"	"764223.289364921"	"582306.623734536"	"715409.860750105"	"621399.098985"	"680431.984166012"	"863866.053044566"	"1452252.61485091"	"299958.245403804"	"1460017.23056272"	"756989.044545203"	"529784.520875987"	"412368.797745326"	"400186.866806029"	"403097.11660515"	"735382.184352663"	"512881.995570812"	"509381.085564947"	"1239375.79100286"	"636265.404361191"	"218253.549731674"	"798022.987291304"	"739874.042157673"	"524253.468256933"	"438383.778641561"	"835647.014792625"	"390997.37548209"	"755826.961550472"	"632884.268522513"
