"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n62.raw (F1)"	"Area: cbr_n71.raw (F2)"	"Area: cbr_n86.raw (F3)"	"Area: cbr_n96.raw (F4)"	"Area: cbr_n102.raw (F5)"	"Area: cbr_n116.raw (F6)"	"Area: cbr_o64.raw (F7)"	"Area: cbr_o72.raw (F8)"	"Area: cbr_o81.raw (F9)"	"Area: cbr_o89.raw (F10)"	"Area: cbr_o93.raw (F11)"	"Area: cbr_o98.raw (F12)"	"Area: cbr_o107.raw (F13)"	"Area: ct_n61.raw (F14)"	"Area: ct_n67.raw (F15)"	"Area: ct_n75.raw (F16)"	"Area: ct_n83.raw (F17)"	"Area: ct_n90.raw (F18)"	"Area: ct_n103.raw (F19)"	"Area: ct_n114.raw (F20)"	"Area: ct_o63.raw (F21)"	"Area: ct_o70.raw (F22)"	"Area: ct_o73.raw (F23)"	"Area: ct_o82.raw (F24)"	"Area: ct_o91.raw (F25)"	"Area: ct_o105.raw (F26)"	"Area: ct_o117.raw (F27)"	"Area: ct-o115.raw (F28)"	"Area: s06_66.raw (F29)"	"Area: s06_77.raw (F30)"	"Area: s06_78.raw (F31)"	"Area: s06_84.raw (F32)"	"Area: s06_92.raw (F33)"	"Area: S06_95.raw (F34)"	"Area: s06_101.raw (F35)"	"Area: s06_109.raw (F36)"	"Area: syd_n65.raw (F37)"	"Area: syd_n69.raw (F38)"	"Area: syd_n74.raw (F39)"	"Area: syd_n80.raw (F40)"	"Area: syd_n85.raw (F41)"	"Area: syd_n87.raw (F42)"	"Area: syd_n97.raw (F43)"	"Area: syd_n99.raw (F44)"	"Area: syd_n100.raw (F45)"	"Area: syd_n104.raw (F46)"	"Area: syd_n110.raw (F47)"	"Area: syd_o76.raw (F48)"	"Area: syd_o79.raw (F49)"	"Area: syd_o94.raw (F50)"	"Area: syd_o106.raw (F51)"	"Area: syd-o112.raw (F52)"
"False"	"PC(18:1_18:1)"	"C44 H84 N O8 P"	"Full match"	"Full match"	"785.59060"	"11.319"	"737447063.308634"	"Multiple matches found"	"125386085.339467"	"160689307.319403"	"156573910.862049"	"62209099.4176921"	"104835308.3161"	"172911200.874905"	"202689921.899528"	"114812629.810017"	"155564657.929716"	"110636339.418427"	"95233852.2617783"	"120737144.788919"	"224745178.302062"	"110362135.594332"	"99366630.1554814"	"187103967.191395"	"115819706.127697"	"167936116.209154"	"104207473.583745"	"120401380.430413"	"133895894.139626"	"195904378.156043"	"178110407.86507"	"159630962.720441"	"118933030.052232"	"167169904.506999"	"150805395.127191"	"136314190.942803"	"135263044.946135"	"163641840.006192"	"201236415.631825"	"175850611.069838"	"157730571.799369"	"737447063.308634"	"151679788.40819"	"197955922.780476"	"141751298.076539"	"126589460.957796"	"125081678.480189"	"115608284.49616"	"110142384.125404"	"145531000.981044"	"135973072.105717"	"125813031.880279"	"153092230.414254"	"134969624.137967"	"166749746.648913"	"121142897.387595"	"175942856.829016"	"198877427.464194"	"127385087.020952"	"161822252.628766"
"False"	"TG(16:0_16:0_18:1)"	"C53 H103 N O6"	"Full match"	"Full match"	"849.77519"	"21.395"	"723247090.073356"	"Single match found"	""	"352408720.093924"	""	""	""	""	"55567181.1725809"	""	"19918163.9651236"	""	""	"83257287.2908787"	""	""	"234273734.983626"	"177026762.139748"	""	""	""	""	""	""	""	""	""	"93482470.3562012"	""	"541343101.278454"	"448685572.450871"	""	"620581426.187169"	""	""	"723247090.073356"	""	""	""	""	""	""	""	""	""	""	"519963562.955401"	"483018164.489605"	""	""	"593859994.405282"	"455017716.748345"	"210320936.628311"	""
"False"	"TG(16:0_16:0_18:2)"	"C53 H101 N O6"	"Not the top hit"	"Full match"	"847.75983"	"21.016"	"627076703.422623"	"Multiple matches found"	"487441306.957035"	""	"612291959.420613"	""	""	"309620360.206102"	""	""	"37022290.2892349"	"124220948.375865"	"29617176.9802807"	""	"323278634.774859"	""	""	"205478362.186171"	""	"561265738.41479"	""	""	"319081513.60735"	"300974030.939842"	""	""	"429252125.711253"	""	"273661516.388595"	""	""	""	""	"627076703.422623"	""	"626031837.513797"	""	""	"92730116.9360498"	""	""	""	""	"450195093.503882"	""	""	""	""	""	""	"543471127.65091"	""	""	""
"False"	"TG(16:0_16:1_16:1)"	"C51 H97 N O6"	"Full match"	"Full match"	"819.72862"	"20.600"	"613058321.323754"	"Single match found"	""	""	""	"47328930.7985624"	""	""	"66614397.020403"	"139761768.298632"	""	"78170273.9739723"	"8633190.44617449"	""	"235679319.249308"	"7766853.8000423"	""	""	""	""	""	"487206475.472869"	""	""	"298762526.227068"	""	"118279474.929573"	""	""	""	""	""	""	""	""	"613058321.323754"	""	""	"38780970.1421996"	"170477116.275351"	"429538365.089993"	"199718706.105402"	""	"307689393.105686"	""	""	"588427117.60105"	"343923855.47865"	""	""	"455273147.278346"	""	"70896966.2638189"	""
"False"	"PC(9:0_22:1)"	"C39 H76 N O8 P"	"No match"	"Full match"	"717.52892"	"11.684"	"572564430.040364"	"Single match found"	"111078561.595845"	"165421702.4559"	"92166989.2174806"	"52315405.1061047"	"122227426.200154"	"195574707.524958"	"195265189.935773"	"158904108.118522"	"174282721.379891"	"109821534.086031"	"67227968.6711127"	"77568930.8679854"	"244113155.1874"	"89689876.5756496"	"66696125.8511011"	"133219906.236241"	"115772866.96697"	"148055616.733164"	"88751775.5959155"	"87731898.8811036"	"107830621.051186"	"150154688.40602"	"139801281.674434"	"114486611.653341"	"90831084.2698848"	"131183823.903995"	"116129405.860925"	"90983934.1667058"	"116200890.153867"	"133497811.44338"	"165055462.313346"	"136433925.340979"	"126125615.794958"	"572564430.040364"	"152586599.153339"	"163212830.382385"	"114153323.382683"	"118214286.515739"	"127951155.667908"	"107200555.878379"	"100455583.273582"	"108091399.609403"	"116654425.363671"	"129210377.270344"	"111292606.904709"	"114839433.641117"	"104698138.525654"	"104862342.707476"	"145391122.251845"	"127752743.976196"	"119296952.838816"	"137097997.711499"
"False"	"TG(16:0_16:1_16:0)"	"C51 H99 N O6"	"Full match"	"Full match"	"821.74427"	"21.054"	"513470276.454442"	"Multiple matches found"	"219512996.127576"	""	"398544325.433321"	""	"513470276.454442"	"398419855.659939"	"37887229.6040024"	""	""	"109456433.077243"	""	""	""	""	""	""	""	"325496664.501845"	""	""	""	""	"292249814.022006"	"232820694.112391"	""	"62918882.3577116"	""	""	"384225303.977319"	"303385638.032731"	"457058243.241624"	""	""	""	""	""	"76536314.1549491"	"148822131.756164"	""	""	"185328393.67005"	"26878482.9830187"	"351009075.544682"	""	""	""	""	"183141611.477719"	""	""	""	"90284364.483899"
"False"	"TG(16:0_12:0_18:1)"	"C49 H95 N O6"	"Full match"	"Full match"	"793.71316"	"20.609"	"475010838.969419"	"Multiple matches found"	"86464768.9218938"	"198985118.249855"	"184195493.944092"	""	""	""	"13016328.5288637"	"55850433.961217"	"8807930.11125386"	"37429616.6140338"	"6795882.54818165"	"16760928.6583536"	"90994100.8930848"	"48644015.7634906"	"103590954.092119"	"23543021.8286208"	""	"144375472.265059"	"8685587.58029645"	""	""	"145618153.35165"	"137372142.679379"	"168692841.871418"	"169716811.15657"	"22048512.378343"	""	"243597793.761578"	""	"132754164.22026"	"235274511.205662"	"208204327.605407"	"15850464.6946589"	"475010838.969419"	"144351389.865464"	""	"24931516.0723449"	"75608771.3803227"	""	""	"58801579.0207543"	"138728192.870601"	"198186882.4259"	"172402010.677874"	"190408453.865421"	""	"234850171.388621"	""	"270268363.956954"	"163731778.67317"	"36601021.4736367"	"20630038.4742959"
"False"	"TG(16:0_16:0_18:3)"	"C53 H99 N O6"	"Not the top hit"	"Full match"	"845.74406"	"20.571"	"473712830.110037"	"Multiple matches found"	""	"217347271.017875"	"220613911.897628"	"23163182.7131099"	"164431073.100715"	"261422080.270199"	"88501624.4785119"	"57125980.7191642"	"23955557.7320552"	""	"3641226.7793264"	"12860395.248929"	"157833443.785118"	"48924863.9794023"	"191959069.571773"	"46535841.3385086"	"160199549.538128"	"248365344.412647"	"14759407.3025112"	"230438431.236554"	""	"90876790.1259045"	"123431918.466455"	"129919396.162182"	""	""	"208625316.682817"	"172778991.111482"	""	""	"176455461.394634"	"189790385.615963"	"154050101.330616"	"473712830.110037"	"142981272.826754"	"26565317.4792979"	"25439209.6468746"	"94138347.1088726"	""	"134075994.408869"	"129886850.738151"	"129164669.203569"	"105815409.535433"	""	"243134930.846972"	"107933609.493491"	"168085745.875884"	""	"137731957.16917"	""	"45078868.6058037"	"57089297.6398213"
"False"	"TG(16:0_18:2_12:0)"	"C49 H93 N O6"	"Full match"	"Full match"	"791.69749"	"20.005"	"462354704.626276"	"Multiple matches found"	"102992683.769753"	"143756041.904389"	""	""	""	"184886021.877604"	"14661881.6372245"	"17016961.8737612"	"8124126.02394701"	"13432040.3440985"	"870218.008390347"	"5743868.79065371"	""	"13989181.9904562"	"76510582.9525017"	"10919037.5989741"	"188741402.928752"	""	"3443531.36534764"	"110687901.836508"	""	""	""	""	""	"19919287.5304212"	"106805166.706686"	""	""	"127230665.499562"	""	"114547475.147238"	"115058384.499833"	"462354704.626276"	"80890245.4126693"	""	"7522908.31057199"	"47263075.6363975"	"22900507.1565668"	""	""	""	"66615844.9760646"	"145289325.003648"	""	""	""	"12623347.5938996"	"101108912.711705"	"93408168.3602323"	"13227550.0135124"	"9932205.58298994"
"False"	"TG(12:0_22:2_14:1)"	"C51 H95 N O6"	"Not the top hit"	"Full match"	"817.71307"	"19.985"	"445330736.404763"	"Multiple matches found"	""	""	""	"30936750.841019"	"93130995.7961499"	""	""	"18453979.3078552"	"13466750.3754385"	"19022762.83567"	"823539.824051559"	"4995317.02245794"	"79208425.7812807"	"16235657.9768406"	""	"11518823.5462598"	""	"170716103.827661"	"4080630.9093878"	"136868161.077538"	""	""	"46480650.0971384"	""	"65507234.4768396"	""	"123746914.465977"	""	""	""	""	""	""	"445330736.404763"	""	"118568239.638153"	"5723038.75191996"	""	""	""	"35421062.7199187"	""	""	""	""	""	""	"17136232.6388272"	"68548310.5901718"	""	"11903932.4660584"	"13703057.2206429"
