"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n182.raw (F1)"	"Area: cbr_n190.raw (F2)"	"Area: cbr_n193.raw (F3)"	"Area: cbr_n204.raw (F4)"	"Area: cbr_n216.raw (F5)"	"Area: cbr_n228.raw (F6)"	"Area: cbr_o180.raw (F7)"	"Area: cbr_o188.raw (F8)"	"Area: cbr_o189.raw (F9)"	"Area: cbr_o196.raw (F10)"	"Area: cbr_o198.raw (F11)"	"Area: cbr_o199.raw (F12)"	"Area: cbr_o213.raw (F13)"	"Area: cbr_o220.raw (F14)"	"Area: cbr_o229.raw (F15)"	"Area: ct_n179.raw (F16)"	"Area: ct_n185.raw (F17)"	"Area: ct_n191.raw (F18)"	"Area: ct_n203.raw (F19)"	"Area: ct_n205.raw (F20)"	"Area: ct_n211.raw (F21)"	"Area: ct_n218.raw (F22)"	"Area: ct_n223.raw (F23)"	"Area: ct_n224.raw (F24)"	"Area: ct_o175.raw (F25)"	"Area: ct_o184.raw (F26)"	"Area: ct_o192.raw (F27)"	"Area: ct_o206.raw (F28)"	"Area: ct_o207.raw (F29)"	"Area: ct_o209.raw (F30)"	"Area: ct_o219.raw (F31)"	"Area: ct_o222.raw (F32)"	"Area: ct_o225.raw (F33)"	"Area: s06_174.raw (F34)"	"Area: s06_181.raw (F35)"	"Area: s06_186.raw (F36)"	"Area: s06_197.raw (F37)"	"Area: s06_208.raw (F38)"	"Area: s06_210.raw (F39)"	"Area: s06_217.raw (F40)"	"Area: s06_227.raw (F41)"	"Area: syd_n176.raw (F42)"	"Area: syd_n183.raw (F43)"	"Area: syd_n194.raw (F44)"	"Area: syd_n202.raw (F45)"	"Area: syd_n212.raw (F46)"	"Area: syd_o177.raw (F47)"	"Area: syd_o178.raw (F48)"	"Area: syd_o187.raw (F49)"	"Area: syd_o195.raw (F50)"	"Area: syd_o200.raw (F51)"	"Area: syd_o201.raw (F52)"	"Area: syd_o215.raw (F53)"	"Area: syd_o221.raw (F54)"	"Area: syd_o226.raw (F55)"
"False"	"TG(16:0_16:0_18:2)"	"C53 H101 N O6"	"Full match"	"Full match"	"847.76404"	"21.087"	"592508456.685979"	"Multiple matches found"	"67938268.046719"	""	"235057336.200128"	"273401720.612199"	""	""	"312975448.076318"	"382580183.048973"	"378217429.290017"	""	"108331001.645137"	"216118781.541645"	""	"592508456.685979"	"320311098.385176"	"328933064.159913"	"456091555.348301"	""	"315509376.659355"	"194570429.099226"	"529002076.504589"	"419757691.180609"	""	""	""	""	"413098465.404436"	""	""	"102670788.323006"	""	"55196538.8460967"	"308140352.612462"	""	""	"357260897.371928"	""	""	""	""	"410256475.852687"	"457991743.509732"	"273067156.173649"	"440972350.200193"	""	""	"366054157.788167"	"495919259.279459"	"496829388.153932"	""	"426248573.160995"	""	""	"516820713.502801"	""
"False"	"TG(16:0_16:0_18:3)"	"C53 H99 N O6"	"Full match"	"Full match"	"845.74860"	"20.759"	"575835777.943952"	"Multiple matches found"	""	"306935956.835149"	""	"200619369.418002"	""	"162605390.33648"	"409278776.854973"	"138146624.450058"	"291271212.879966"	"200263886.592894"	"41135978.7818326"	"254827232.548669"	"249376752.700984"	"315768732.258216"	"326199991.06137"	"64089109.8834776"	"443772169.427806"	"575835777.943952"	"254958003.501696"	"86190324.2321939"	"497337312.78553"	"404394761.774091"	"44468935.3832181"	"265313968.361407"	""	"195460037.171691"	"145382962.301882"	""	"104442407.663478"	"28290477.6591906"	"228721941.473987"	"19570989.9029538"	"27980619.6490077"	"271138566.784737"	"210211367.272406"	"169550674.674083"	"300368380.561074"	"204696352.886404"	"328198430.378054"	""	"248783938.072251"	"79400309.8167661"	"87798305.7110965"	"209835559.216997"	"107097437.590997"	"167292268.163335"	"209562082.657581"	"171073297.645638"	"232639600.973201"	""	"306963193.540196"	"241203536.567843"	"63215281.0870014"	"254574687.346687"	"166708719.661533"
"False"	"TG(16:0_16:0_18:1)"	"C53 H103 N O6"	"Full match"	"Full match"	"849.77970"	"21.425"	"489359193.928794"	"Single match found"	""	""	"37948664.726028"	"259014681.130242"	""	""	""	"315754246.584395"	""	"388098847.30785"	""	"153014671.827184"	""	""	"424038698.151921"	""	"454976426.379998"	""	"218259204.420019"	"163410182.211747"	"342965257.24119"	"381457654.025732"	""	""	"94307396.2924388"	"117089046.964029"	""	"253617655.043466"	"264039733.467389"	""	""	"26685291.0919952"	""	"454532819.0228"	"238636063.688123"	""	"361746519.963098"	"262438451.156311"	"255929206.370551"	""	""	""	"51098171.9256817"	""	""	""	""	""	"66167366.4642479"	"211657604.537692"	""	"353842762.247353"	""	"489359193.928794"	"229297012.203434"
"False"	"TG(16:0_16:1_16:1)"	"C51 H97 N O6"	"Full match"	"Full match"	"819.73287"	"20.666"	"461208146.745838"	"Single match found"	""	"98145270.7163161"	"155515946.166273"	"58891468.1181434"	"141049203.720906"	"44621823.7915843"	"148432982.127553"	"128329960.391024"	"112732370.386468"	"166113416.392695"	"200077293.437696"	"67928084.4528951"	"143239019.093938"	""	"166705399.640091"	"96016394.0378611"	"217383930.819398"	"195901693.654318"	"92046626.6579896"	"58264162.852866"	""	"164217577.150725"	"26667370.5747692"	"81317053.252937"	""	"145397157.042857"	"149237998.004636"	""	"97557322.1396026"	""	""	"11946415.3128561"	""	"461208146.745838"	"131213246.446148"	""	""	"167496220.268325"	""	"166799296.949321"	"38823506.9133522"	"126398402.339692"	""	"225271579.852332"	""	"119369263.230834"	""	"216841751.871776"	""	""	"170471806.531049"	""	""	""	"119589519.942465"
"False"	"TG(18:0_16:1_18:1)"	"C55 H105 N O6"	"Full match"	"Full match"	"875.79516"	"21.395"	"438613452.985574"	"Multiple matches found"	""	"271227324.397546"	""	"107539593.530409"	""	""	"364472109.048493"	"272570313.861641"	"287250373.75462"	"341751642.664954"	""	"168853959.804267"	"308094566.562849"	""	"345438000.377663"	"252552044.340204"	"400556279.830703"	"149120483.221006"	"76554775.2390151"	""	""	""	"123749897.248312"	"231956283.036709"	"168459057.404123"	"245777757.841411"	""	""	""	""	""	"52246321.8998439"	"256445327.344532"	"438613452.985574"	"412068600.825846"	"61427993.631898"	"385262232.687814"	""	"336846168.277668"	""	"353636782.871277"	"352075581.640653"	"213771066.715562"	"281126253.591714"	""	"165079168.032962"	"416606828.439749"	""	"335622952.301076"	"313158822.962666"	""	"263204894.738106"	""	"357277683.016152"	"265432925.169235"
"False"	"TG(16:0_18:1_18:2)"	"C55 H103 N O6"	"Not the top hit"	"Full match"	"873.77964"	"21.116"	"405647760.001448"	"Multiple matches found"	""	"162413556.477541"	"286899965.33317"	""	""	"220014859.268875"	""	"99334478.5479653"	"277847223.259871"	"173919471.297498"	"239919799.530495"	""	""	"56180250.8380053"	""	""	""	""	""	"21643061.7169357"	"120840000.977438"	"275614003.501868"	"68282150.653368"	"405647760.001448"	""	"149383668.276283"	""	""	"158569688.622494"	"58745375.8529384"	"195612540.524322"	"40662215.9585071"	"174792119.56831"	""	"229686509.345726"	""	"214890820.827689"	"205434222.51496"	"242035842.265258"	"164403757.777017"	""	""	"101518535.803364"	"163494354.692781"	"113933541.878802"	"99656772.4068593"	""	"19174396.4394683"	"193270677.210148"	"219862416.340024"	"255881158.27964"	"228409937.63616"	""	""	"169133365.9679"
"False"	"TG(18:1_12:2_11:2)"	"C44 H77 N O6"	"Full match"	"Full match"	"715.57609"	"17.880"	"343270778.239636"	"Single match found"	""	""	""	""	""	""	"38775254.5444717"	""	""	""	""	""	"672608.26160422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"36600.0939789464"	""	""	""	""	"343270778.239636"	""	""	""	""	""	""	""	""	""	""	""
"False"	"TG(16:0_16:1_16:0)"	"C51 H99 N O6"	"Full match"	"Full match"	"821.74848"	"21.087"	"342612210.343705"	"Multiple matches found"	"103410646.041205"	"85768025.286509"	"135663698.879016"	"79754455.8430257"	"89788440.9698673"	"28803154.0864059"	"121499640.231415"	"156791291.837582"	"85888060.90884"	"181121867.281902"	""	"44123942.7960489"	"144749522.594564"	"191431694.828709"	"147537214.017059"	""	""	"145421458.794259"	"74929367.8991832"	"68120384.1372994"	""	"158415208.156967"	"30324580.2913186"	"61754405.1696042"	"35519237.3395215"	""	""	"123189112.287674"	"130379664.428893"	"26705302.8738367"	"176004964.911937"	"12638781.8518197"	"93039804.1400365"	"342612210.343705"	"92275551.3510138"	"56183602.2773252"	"240830048.403398"	"123237154.182679"	"128304382.193773"	"186254126.172947"	"161058612.497345"	"184189017.646286"	""	"279234730.874823"	""	"143610253.149101"	""	"268535316.667791"	"222199908.022818"	"75094718.2065656"	"151973255.655249"	"154307855.754757"	"49446486.2730885"	"222291426.180758"	"108634235.856401"
"False"	"TG(16:0_18:1_18:3)"	"C55 H101 N O6"	"Not the top hit"	"Full match"	"871.76421"	"20.826"	"304261508.396275"	"Multiple matches found"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"218552296.941051"	""	""	""	""	""	"304261508.396275"	"27032879.0880327"	""	""	""	""	"90514784.5015494"	""	""	""	""	""	""	""	"95343990.4264945"	""	"79379237.1906687"	""	"109562297.985832"	""	""	""	""	""	""	""	""	""	"163672858.068952"	""	""	""	""	""
"False"	"PC(16:0_18:1)"	"C42 H82 N O8 P"	"Full match"	"Full match"	"759.57884"	"11.393"	"260908942.69689"	"Single match found"	"164647111.643371"	"152213429.591278"	"143829570.378358"	"93409173.0500088"	"89171989.9472501"	"132508836.036634"	"118170749.229931"	"191079463.260753"	"164183630.928009"	"248585980.904948"	"118713697.923082"	"94281392.1725827"	"152116729.069455"	"222622487.953705"	"161644640.537011"	"133007700.124222"	"140787621.203928"	"119589511.66396"	"121330732.034285"	"190031834.333398"	"111755145.994241"	"103486344.296377"	"97589358.0383745"	"88382320.4991087"	"74887375.767087"	"191913885.611757"	"189328247.57746"	"192643216.248075"	"99061848.2646611"	"117833520.198105"	"260908942.69689"	"106112505.076317"	"116317561.140143"	"165551384.388627"	"175086439.224761"	"166217458.821651"	"131554926.026769"	"164543121.233376"	"149027075.303912"	"91019583.0317448"	"152899404.424929"	"143026012.68008"	"236017980.228822"	"174461502.282921"	"200494237.359088"	"146884568.210257"	"182330249.074601"	"162117311.290644"	"211082656.470743"	"144560740.249928"	"165463451.815395"	"161104027.521056"	"131704752.039037"	"177425371.276141"	"183765809.089272"
