"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n04.raw (F1)"	"Area: cbr_n18.raw (F2)"	"Area: cbr_n26.raw (F3)"	"Area: cbr_n40.raw (F4)"	"Area: cbr_n43.raw (F5)"	"Area: cbr_o06.raw (F6)"	"Area: cbr_o07.raw (F7)"	"Area: cbr_o14.raw (F8)"	"Area: cbr_o24.raw (F9)"	"Area: cbr_o27.raw (F10)"	"Area: cbr_o28.raw (F11)"	"Area: cbr_o44.raw (F12)"	"Area: cbr_o50.raw (F13)"	"Area: cbr_o51.raw (F14)"	"Area: ct_n09.raw (F15)"	"Area: ct_n19.raw (F16)"	"Area: ct_n20.raw (F17)"	"Area: ct_n32.raw (F18)"	"Area: ct_n37.raw (F19)"	"Area: ct_n39.raw (F20)"	"Area: ct_n48.raw (F21)"	"Area: ct_o16.raw (F22)"	"Area: ct_o17.raw (F23)"	"Area: ct_o30.raw (F24)"	"Area: ct_o33.raw (F25)"	"Area: ct_o38.raw (F26)"	"Area: ct_o42.raw (F27)"	"Area: ct_o46.raw (F28)"	"Area: ct_o53.raw (F29)"	"Area: s06_02.raw (F30)"	"Area: s06_10.raw (F31)"	"Area: s06_13.raw (F32)"	"Area: s06_25.raw (F33)"	"Area: s06_31.raw (F34)"	"Area: s06_35.raw (F35)"	"Area: s06_41.raw (F36)"	"Area: s06_47.raw (F37)"	"Area: s06_54.raw (F38)"	"Area: syd_n01.raw (F39)"	"Area: syd_n03.raw (F40)"	"Area: syd_n12.raw (F41)"	"Area: syd_n23.raw (F42)"	"Area: syd_n34.raw (F43)"	"Area: syd_n36.raw (F44)"	"Area: syd_n49.raw (F45)"	"Area: syd_n52.raw (F46)"	"Area: syd_n55.raw (F47)"	"Area: syd_o05.raw (F48)"	"Area: syd_o11.raw (F49)"	"Area: syd_o15.raw (F50)"	"Area: syd_o21.raw (F51)"	"Area: syd_o22.raw (F52)"	"Area: syd_o29.raw (F53)"	"Area: syd_o45.raw (F54)"	"Area: syd_o58.raw (F55)"
"False"	"TG(16:0_16:1_16:1)"	"C51 H97 N O6"	"Not the top hit"	"Full match"	"819.72982"	"20.634"	"799884892.797274"	"Single match found"	""	"503399268.78153"	""	"441732528.979347"	"5153264.02683133"	""	"389259953.561997"	"655439443.260956"	""	""	""	""	""	"467367223.692218"	"41705695.4141976"	"423592422.607656"	""	""	"193842439.861181"	""	"214713905.888445"	"22744891.099353"	""	""	""	"373694292.866751"	"197621124.04485"	"449307382.398041"	"361672822.894772"	""	""	"669508605.002266"	""	""	""	"799884892.797274"	""	"656089563.580768"	"387076672.148711"	"452115065.304811"	""	"450103561.104253"	"487708235.783367"	"589155221.87053"	""	""	""	""	"484937594.52571"	""	""	""	"243133130.899007"	"195076643.875549"	"239139545.644932"
"False"	"TG(16:0_16:0_18:1)"	"C53 H103 N O6"	"Full match"	"Full match"	"849.77670"	"21.408"	"704780619.575605"	"Single match found"	"38258811.1985284"	""	""	"496596310.609525"	"10486488.1818124"	"490655239.866512"	""	""	""	""	"197021968.529462"	"310815305.494842"	"348713757.389604"	""	""	"422562290.22259"	""	"537074698.433778"	"175452317.959849"	""	""	"302428088.681411"	"397599296.350818"	""	""	"331327583.572059"	""	""	"412565789.194761"	"496802608.563442"	""	"485115497.22925"	"704780619.575605"	""	""	"509447858.16191"	""	""	""	""	""	""	""	""	""	""	"515790996.93001"	""	""	""	""	""	""	""	"358717674.080395"
"False"	"TG(16:0_16:1_16:0)"	"C51 H99 N O6"	"Not the top hit"	"Full match"	"821.74559"	"21.076"	"607225832.688837"	"Multiple matches found"	"19590974.9863152"	""	""	"373587281.434508"	"5316367.75380334"	"393183510.926869"	"339502086.979842"	""	"360757881.810645"	"102162725.059677"	""	""	""	"553491639.050362"	"57809211.9622071"	""	""	""	"140197656.548055"	""	""	""	"288900167.76164"	""	""	"219716463.829562"	""	"315049582.235146"	"384322362.418935"	""	"321471417.703817"	""	"468970422.596736"	""	"151244997.856333"	""	"425506207.727986"	"451372801.377794"	"420512181.895788"	""	""	""	"383425374.992105"	""	"233222121.425902"	""	""	"223140765.34574"	""	"269931259.171589"	"607225832.688837"	"404722293.994774"	"408632729.69201"	""	"439027271.54402"
"False"	"TG(16:0_16:0_18:2)"	"C53 H101 N O6"	"Full match"	"Full match"	"847.76103"	"21.047"	"598209732.622435"	"Multiple matches found"	""	""	"468976666.240804"	""	"16855599.0607295"	"563602547.730143"	""	""	""	"207655639.844577"	""	""	""	"502108492.417177"	""	""	"334813941.696012"	""	"296796146.971091"	""	""	"378572217.302675"	""	""	""	""	"419201665.41317"	"377447479.115545"	""	"321469034.892833"	"441771910.394972"	"518170950.140068"	""	""	""	"388323631.323024"	"548156232.203588"	"470383212.45628"	""	"459866762.929301"	""	"377918280.320997"	"598209732.622435"	""	"482545130.300207"	"413657956.287294"	""	"414557958.898592"	"488919824.7207"	""	"522797551.74177"	"521501187.175278"	""	""	"398021420.64311"
"False"	"PC(16:0_18:2)"	"C42 H80 N O8 P"	"Full match"	"Full match"	"757.56057"	"9.427"	"565527564.050946"	"Multiple matches found"	"353211866.465477"	"269554244.881211"	"266930084.212437"	"474772024.453779"	"555951210.058292"	"337381003.911325"	"155192242.964187"	"259149852.700348"	"298099180.848069"	"381404232.041339"	"400553690.483872"	"426602589.089069"	"378465046.059859"	"296568176.11148"	"44268966.3571719"	"341137725.855165"	"350437541.198845"	"401793761.434038"	"317860312.313395"	"367290682.556524"	"414729938.170473"	"418688289.380708"	"488079326.931959"	"334174050.625164"	"300533836.350305"	"546984664.450197"	"513573857.371406"	"428001949.619029"	"485263492.581135"	"431632219.179494"	"409573123.921345"	"365267910.934372"	"520854763.236593"	"481982843.844319"	"141516377.337248"	"562016922.046511"	"380838491.072795"	"390663242.038848"	"363977814.972839"	"504417791.290984"	"321857496.354976"	"275626002.93953"	"271369770.343913"	"426817579.222259"	"443218036.678909"	"441384912.047531"	"210880854.656413"	"236094135.170525"	"413263360.824175"	"469692740.904963"	"310135114.662852"	"565527564.050946"	"385864485.901589"	"303740057.156525"	"270982942.19585"
"False"	"PC(16:0_18:1)"	"C42 H82 N O8 P"	"Full match"	"Full match"	"759.57629"	"11.366"	"429848277.626577"	"Single match found"	"180801744.293837"	"158562875.58658"	"128035281.103973"	"196494074.643037"	"244692311.661193"	"169375896.561644"	"47957881.235185"	"125572855.226608"	"159491400.720268"	"172784531.159285"	"240681400.879566"	"213872956.901966"	"214992673.578373"	"157111909.043366"	"30165951.4468338"	"106768572.583474"	"224163727.214687"	"239145545.807853"	"192940959.857507"	"164377692.746478"	"259751970.536514"	"162297597.510133"	"275836921.796624"	"181613367.064269"	"173261401.95667"	"298848481.004301"	"429848277.626577"	"292922167.750564"	"271123707.221511"	"210925458.056975"	"178744840.739047"	"181332806.751114"	"317538989.951054"	"233013435.653642"	"62406457.9758806"	"272609383.234521"	"236810832.838329"	"207962239.888328"	"195832751.473383"	"190904694.123645"	"190524329.070897"	"274211796.393476"	"175410309.39091"	"208384847.495103"	"273706483.349166"	"257599015.402618"	"102851486.622382"	"258006229.677761"	"256331665.153649"	"248593523.047174"	"194800268.706614"	"355942674.759134"	"247191165.548011"	"236481610.130586"	"217375013.56183"
"False"	"PC(20:0_11:2)"	"C39 H74 N O8 P"	"Full match"	"Full match"	"715.51396"	"9.865"	"412704186.735632"	"Multiple matches found"	"218712504.727778"	"168814900.550537"	"161077885.806436"	"349580359.423972"	"375467783.588665"	"181514468.180024"	"117580512.096512"	"145329059.322056"	"183927344.423842"	"290760975.667304"	"216433313.581093"	"317830994.418216"	"222202739.845017"	"166847872.109341"	"21580620.9033872"	"225598222.200688"	"152747680.167631"	"192825255.868874"	"132887264.628365"	"215628712.177022"	"412704186.735632"	"261519374.409557"	"244071865.035391"	"218552109.437392"	"173264865.079726"	"320576244.130315"	"305759604.20759"	"173098309.46116"	"336541975.361143"	"244278875.322239"	"225027366.919408"	"221842258.77236"	"248330584.336457"	"251527804.14379"	"68055791.159728"	"328234807.603037"	"291695723.19471"	"231850275.009139"	"253002400.186078"	"207647499.299435"	"268576784.718004"	"256765881.712277"	"144274009.984947"	"241423776.973322"	"235517962.25033"	"262658532.54446"	"142605472.216403"	"261467852.608236"	"182138254.449601"	"313872419.850672"	"258777373.855389"	"271093234.164495"	"213814950.181468"	"191431759.59291"	"210860187.390304"
"False"	"TG(18:0_16:1_18:1)"	"C55 H105 N O6"	"Not the top hit"	"Full match"	"875.79231"	"21.373"	"391507541.715434"	"Multiple matches found"	""	"267434885.871206"	""	"330825661.189962"	"19209768.7454674"	"276200859.929753"	"88548776.2186997"	"144852302.088996"	""	"160033388.373968"	""	""	""	"192933370.764033"	"100264325.827504"	"198084332.997986"	"187673531.856567"	""	""	"312583691.562067"	"141044884.109653"	"224815992.313458"	"317469632.872758"	"317857863.981981"	"62634511.6373623"	""	""	"243301522.240119"	""	""	""	""	"327397689.873087"	"134181060.620248"	"142908128.411001"	""	"363073787.00078"	"326516688.724428"	""	""	"342973722.531641"	"171009262.654044"	""	""	"296627740.390905"	"263379776.141949"	"391507541.715434"	""	"247456364.989405"	"235267494.328096"	"358841636.010023"	"315506186.064508"	"214207251.575902"	"233063873.241853"	"252305409.332123"
"False"	"TG(16:0_16:0_20:1)"	"C55 H107 N O6"	"Not the top hit"	"Full match"	"877.80796"	"21.683"	"348895721.875605"	"Multiple matches found"	"7027261.40396126"	"220180040.662276"	""	""	"4446958.21283458"	""	"32606757.8534143"	""	"140062681.87801"	"35827012.2033995"	"48344405.4297129"	""	""	""	"36843695.4289453"	"96913497.0322826"	""	""	""	""	""	"67764810.3476465"	"176905410.936927"	""	"21097963.4444256"	"148029396.515813"	"19362971.2445857"	""	""	"125526511.479094"	""	""	""	""	""	"153987750.457629"	"129687438.058191"	""	""	""	""	"348895721.875605"	""	"186090593.936686"	"193015495.029129"	""	""	"91678310.9142448"	""	"80184307.8426644"	""	"224666205.904309"	""	""	""
"False"	"PC(16:0_16:1)"	"C40 H78 N O8 P"	"Full match"	"Full match"	"731.54507"	"9.270"	"331879523.067624"	"Single match found"	"184502519.484781"	"153846854.643055"	"94135139.31818"	"233720603.731816"	"192498093.077134"	"122506768.830633"	"90115221.4373481"	"163884096.298339"	"119248569.375884"	"174444233.533531"	"147701588.333217"	"232867873.35434"	"195280954.750692"	"151788632.879066"	"24197809.8045624"	"154142467.849078"	"134037674.067078"	"207596507.272002"	"107256964.918735"	"130019504.971668"	"227079168.043691"	"192680172.488069"	"232557178.673927"	"159180215.349432"	"146271061.616015"	"175763365.515234"	"331879523.067624"	"154601567.895202"	"204098473.421734"	"146260860.812974"	"125766917.137278"	"244307940.132182"	"277540851.298138"	"154584246.763918"	"80034106.2261954"	"175287019.606431"	"277362306.604158"	"233592599.687292"	"205336178.284202"	"206428624.680473"	"202626405.051921"	"195716094.654435"	"174007796.488975"	"220616041.961179"	"272456156.867367"	"219390336.399997"	"110891446.958053"	"212311081.324494"	"271759266.472682"	"168118800.840032"	"204788372.879178"	"282018406.429076"	"240869430.477288"	"168769375.554041"	"116539085.236903"
