"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n62.raw (F1)"	"Area: cbr_n71.raw (F2)"	"Area: cbr_n86.raw (F3)"	"Area: cbr_n96.raw (F4)"	"Area: cbr_n102.raw (F5)"	"Area: cbr_n116.raw (F6)"	"Area: cbr_o64.raw (F7)"	"Area: cbr_o72.raw (F8)"	"Area: cbr_o81.raw (F9)"	"Area: cbr_o89.raw (F10)"	"Area: cbr_o93.raw (F11)"	"Area: cbr_o98.raw (F12)"	"Area: cbr_o107.raw (F13)"	"Area: ct_n61.raw (F14)"	"Area: ct_n67.raw (F15)"	"Area: ct_n75.raw (F16)"	"Area: ct_n83.raw (F17)"	"Area: ct_n90.raw (F18)"	"Area: ct_n103.raw (F19)"	"Area: ct_n114.raw (F20)"	"Area: ct_o63.raw (F21)"	"Area: ct_o70.raw (F22)"	"Area: ct_o73.raw (F23)"	"Area: ct_o82.raw (F24)"	"Area: ct_o91.raw (F25)"	"Area: ct_o105.raw (F26)"	"Area: ct_o117.raw (F27)"	"Area: ct-o115.raw (F28)"	"Area: s06_66.raw (F29)"	"Area: s06_77.raw (F30)"	"Area: s06_78.raw (F31)"	"Area: s06_84.raw (F32)"	"Area: s06_92.raw (F33)"	"Area: S06_95.raw (F34)"	"Area: s06_101.raw (F35)"	"Area: s06_109.raw (F36)"	"Area: syd_n65.raw (F37)"	"Area: syd_n69.raw (F38)"	"Area: syd_n74.raw (F39)"	"Area: syd_n80.raw (F40)"	"Area: syd_n85.raw (F41)"	"Area: syd_n87.raw (F42)"	"Area: syd_n97.raw (F43)"	"Area: syd_n99.raw (F44)"	"Area: syd_n100.raw (F45)"	"Area: syd_n104.raw (F46)"	"Area: syd_n110.raw (F47)"	"Area: syd_o76.raw (F48)"	"Area: syd_o79.raw (F49)"	"Area: syd_o94.raw (F50)"	"Area: syd_o106.raw (F51)"	"Area: syd-o112.raw (F52)"
"False"	"PC(16:0_18:2)"	"C42 H80 N O8 P"	"Full match"	"Full match"	"757.55939"	"9.268"	"1114698909.79164"	"Multiple matches found"	"342618974.166132"	"388080898.810609"	"316894616.172303"	"161092179.369821"	"304368057.95202"	"371989501.327896"	"468662132.032178"	"257216430.727029"	"418026066.362655"	"259872795.381746"	"183855483.60228"	"236306804.199022"	"459186722.909208"	"244520764.429081"	"256744020.854987"	"500218001.549633"	"268567185.088329"	"416909709.360651"	"235317505.063548"	"267135901.381572"	"302819700.239377"	"450144921.166099"	"383468971.363474"	"359713171.054352"	"279124451.494882"	"358987725.819997"	"325728052.779341"	"290550481.003892"	"283354948.053883"	"418579928.851208"	"425455241.406251"	"319917293.557295"	"347443283.930431"	"1114698909.79164"	"223437156.118397"	"421815665.186608"	"257508420.512561"	"363141434.693832"	"281849551.630568"	"330085529.503414"	"161787535.971764"	"285983983.029348"	"209228549.915375"	"352469233.915428"	"315193487.433751"	"299220750.322547"	"352994503.974571"	"211322328.548477"	"412408910.801455"	"385430728.450538"	"298738992.252905"	"338754411.413985"
"False"	"CerP(d22:1_18:2+2O)"	"C40 H76 N O8 P"	"Not the top hit"	"Full match"	"729.52826"	"7.528"	"921605746.117124"	"Multiple matches found"	"146003678.950012"	"192904124.192551"	"104485267.722986"	"57663779.4588272"	"131088875.223541"	"213257157.978624"	"213720164.486636"	"127773401.563688"	"251995338.243892"	"121736474.743313"	"52600450.0682798"	"101472723.801755"	"326928558.57072"	"95052094.1647314"	"106503144.368345"	"211897216.533008"	"178143740.935676"	"203011232.775446"	"80784112.515694"	"127866943.231297"	"137414206.846644"	"232854889.399114"	"148547260.977808"	"214524793.478298"	"136302353.807912"	"157273287.500306"	"143891967.518205"	"133607615.069136"	"138831168.43016"	"190514642.57651"	"212077862.142147"	"143561911.227274"	"187838795.219949"	"921605746.117124"	"215623029.159044"	"206735026.558535"	"71429552.5707766"	"194033084.396751"	"152978505.125096"	"122191343.858781"	"80552896.9097817"	"125651000.926737"	"166318018.682344"	"222615602.536858"	"145081014.089406"	"121513428.798033"	"153266573.187839"	"75586266.1213057"	"201539711.592381"	"144617430.02371"	"122334026.869649"	"118407532.548342"
"False"	"PC(18:1_18:1)"	"C44 H84 N O8 P"	"Full match"	"Full match"	"785.59060"	"11.319"	"737447063.308634"	"Multiple matches found"	"125386085.339467"	"160689307.319403"	"156573910.862049"	"62209099.4176921"	"104835308.3161"	"172911200.874905"	"202689921.899528"	"114812629.810017"	"155564657.929716"	"110636339.418427"	"95233852.2617783"	"120737144.788919"	"224745178.302062"	"110362135.594332"	"99366630.1554814"	"187103967.191395"	"115819706.127697"	"167936116.209154"	"104207473.583745"	"120401380.430413"	"133895894.139626"	"195904378.156043"	"178110407.86507"	"159630962.720441"	"118933030.052232"	"167169904.506999"	"150805395.127191"	"136314190.942803"	"135263044.946135"	"163641840.006192"	"201236415.631825"	"175850611.069838"	"157730571.799369"	"737447063.308634"	"151679788.40819"	"197955922.780476"	"141751298.076539"	"126589460.957796"	"125081678.480189"	"115608284.49616"	"110142384.125404"	"145531000.981044"	"135973072.105717"	"125813031.880279"	"153092230.414254"	"134969624.137967"	"166749746.648913"	"121142897.387595"	"175942856.829016"	"198877427.464194"	"127385087.020952"	"161822252.628766"
"False"	"PC(16:0_16:1)"	"C40 H78 N O8 P"	"Not the top hit"	"Full match"	"731.54394"	"9.116"	"723884297.370117"	"Single match found"	"198015593.146968"	"287043524.469823"	"147865208.683324"	"81819036.6696739"	"184826450.992986"	"257836912.496617"	"259824411.585284"	"235418828.044238"	"227491880.746684"	"143623899.006249"	"76354922.5120763"	"121690212.73459"	"343219288.367684"	"147520806.751912"	"123825113.792709"	"199110697.11986"	"173540343.891321"	"231552119.371278"	"77960282.9718238"	"147853967.075781"	"181408435.977582"	"256996357.67491"	"193964861.813787"	"176887920.971888"	"175356360.15115"	"180255502.144025"	"178482279.361331"	"157688385.105481"	"175067317.837768"	"207546026.234519"	"257980574.175804"	"184578558.839464"	"196901593.080009"	"723884297.370117"	"234756206.265678"	"247455954.118386"	"139456460.796154"	"199777839.179706"	"175343355.471554"	"126577387.027146"	"155016837.923025"	"175053992.850382"	"178159444.430387"	"177413249.595707"	"140237175.800852"	"157799582.768233"	"149673274.351006"	"127084236.777006"	"241274150.59"	"96807169.1495958"	"183167626.110617"	"182928916.953134"
"False"	"TG(16:0_16:0_18:1)"	"C53 H103 N O6"	"Full match"	"Full match"	"849.77519"	"21.395"	"723247090.073356"	"Single match found"	""	"352408720.093924"	""	""	""	""	"55567181.1725809"	""	"19918163.9651236"	""	""	"83257287.2908787"	""	""	"234273734.983626"	"177026762.139748"	""	""	""	""	""	""	""	""	""	"93482470.3562012"	""	"541343101.278454"	"448685572.450871"	""	"620581426.187169"	""	""	"723247090.073356"	""	""	""	""	""	""	""	""	""	""	"519963562.955401"	"483018164.489605"	""	""	"593859994.405282"	"455017716.748345"	"210320936.628311"	""
"False"	"TG(16:0_16:0_18:2)"	"C53 H101 N O6"	"Not the top hit"	"Full match"	"847.75983"	"21.016"	"627076703.422623"	"Multiple matches found"	"487441306.957035"	""	"612291959.420613"	""	""	"309620360.206102"	""	""	"37022290.2892349"	"124220948.375865"	"29617176.9802807"	""	"323278634.774859"	""	""	"205478362.186171"	""	"561265738.41479"	""	""	"319081513.60735"	"300974030.939842"	""	""	"429252125.711253"	""	"273661516.388595"	""	""	""	""	"627076703.422623"	""	"626031837.513797"	""	""	"92730116.9360498"	""	""	""	""	"450195093.503882"	""	""	""	""	""	""	"543471127.65091"	""	""	""
"False"	"TG(16:0_16:1_16:1)"	"C51 H97 N O6"	"Full match"	"Full match"	"819.72862"	"20.600"	"613058321.323754"	"Single match found"	""	""	""	"47328930.7985624"	""	""	"66614397.020403"	"139761768.298632"	""	"78170273.9739723"	"8633190.44617449"	""	"235679319.249308"	"7766853.8000423"	""	""	""	""	""	"487206475.472869"	""	""	"298762526.227068"	""	"118279474.929573"	""	""	""	""	""	""	""	""	"613058321.323754"	""	""	"38780970.1421996"	"170477116.275351"	"429538365.089993"	"199718706.105402"	""	"307689393.105686"	""	""	"588427117.60105"	"343923855.47865"	""	""	"455273147.278346"	""	"70896966.2638189"	""
"False"	"PC(9:0_22:1)"	"C39 H76 N O8 P"	"No match"	"Full match"	"717.52892"	"11.684"	"572564430.040364"	"Single match found"	"111078561.595845"	"165421702.4559"	"92166989.2174806"	"52315405.1061047"	"122227426.200154"	"195574707.524958"	"195265189.935773"	"158904108.118522"	"174282721.379891"	"109821534.086031"	"67227968.6711127"	"77568930.8679854"	"244113155.1874"	"89689876.5756496"	"66696125.8511011"	"133219906.236241"	"115772866.96697"	"148055616.733164"	"88751775.5959155"	"87731898.8811036"	"107830621.051186"	"150154688.40602"	"139801281.674434"	"114486611.653341"	"90831084.2698848"	"131183823.903995"	"116129405.860925"	"90983934.1667058"	"116200890.153867"	"133497811.44338"	"165055462.313346"	"136433925.340979"	"126125615.794958"	"572564430.040364"	"152586599.153339"	"163212830.382385"	"114153323.382683"	"118214286.515739"	"127951155.667908"	"107200555.878379"	"100455583.273582"	"108091399.609403"	"116654425.363671"	"129210377.270344"	"111292606.904709"	"114839433.641117"	"104698138.525654"	"104862342.707476"	"145391122.251845"	"127752743.976196"	"119296952.838816"	"137097997.711499"
"False"	"TG(16:0_16:1_16:0)"	"C51 H99 N O6"	"Full match"	"Full match"	"821.74427"	"21.054"	"513470276.454442"	"Multiple matches found"	"219512996.127576"	""	"398544325.433321"	""	"513470276.454442"	"398419855.659939"	"37887229.6040024"	""	""	"109456433.077243"	""	""	""	""	""	""	""	"325496664.501845"	""	""	""	""	"292249814.022006"	"232820694.112391"	""	"62918882.3577116"	""	""	"384225303.977319"	"303385638.032731"	"457058243.241624"	""	""	""	""	""	"76536314.1549491"	"148822131.756164"	""	""	"185328393.67005"	"26878482.9830187"	"351009075.544682"	""	""	""	""	"183141611.477719"	""	""	""	"90284364.483899"
"False"	"TG(16:0_12:0_18:1)"	"C49 H95 N O6"	"Full match"	"Full match"	"793.71316"	"20.609"	"475010838.969419"	"Multiple matches found"	"86464768.9218938"	"198985118.249855"	"184195493.944092"	""	""	""	"13016328.5288637"	"55850433.961217"	"8807930.11125386"	"37429616.6140338"	"6795882.54818165"	"16760928.6583536"	"90994100.8930848"	"48644015.7634906"	"103590954.092119"	"23543021.8286208"	""	"144375472.265059"	"8685587.58029645"	""	""	"145618153.35165"	"137372142.679379"	"168692841.871418"	"169716811.15657"	"22048512.378343"	""	"243597793.761578"	""	"132754164.22026"	"235274511.205662"	"208204327.605407"	"15850464.6946589"	"475010838.969419"	"144351389.865464"	""	"24931516.0723449"	"75608771.3803227"	""	""	"58801579.0207543"	"138728192.870601"	"198186882.4259"	"172402010.677874"	"190408453.865421"	""	"234850171.388621"	""	"270268363.956954"	"163731778.67317"	"36601021.4736367"	"20630038.4742959"
