"Checked"	"Name"	"Formula"	"Annotation Source: Predicted Compositions"	"Annotation Source: MassList Match"	"Molecular Weight"	"RT [min]"	"Area (Max.)"	"Mass List Match: masslist_for_CD"	"Area: cbr_n119.raw (F1)"	"Area: cbr_n128.raw (F2)"	"Area: cbr_n151.raw (F3)"	"Area: cbr_n153.raw (F4)"	"Area: cbr_n165.raw (F5)"	"Area: cbr_o124.raw (F6)"	"Area: cbr_o127.raw (F7)"	"Area: cbr_o131.raw (F8)"	"Area: cbr_o139.raw (F9)"	"Area: cbr_o150.raw (F10)"	"Area: cbr_o154.raw (F11)"	"Area: cbr_o156.raw (F12)"	"Area: cbr_o167.raw (F13)"	"Area: cbr_o168.raw (F14)"	"Area: ct_n122.raw (F15)"	"Area: ct_n125.raw (F16)"	"Area: ct_n147.raw (F17)"	"Area: ct_n149.raw (F18)"	"Area: ct_n161.raw (F19)"	"Area: ct_n164.raw (F20)"	"Area: ct_n173.raw (F21)"	"Area: ct_o130.raw (F22)"	"Area: ct_o136.raw (F23)"	"Area: ct_o140.raw (F24)"	"Area: ct_o145.raw (F25)"	"Area: ct_o152.raw (F26)"	"Area: ct_o159.raw (F27)"	"Area: ct_o166.raw (F28)"	"Area: s06_118.raw (F29)"	"Area: s06_120.raw (F30)"	"Area: s06_121.raw (F31)"	"Area: s06_143.raw (F32)"	"Area: s06_146.raw (F33)"	"Area: s06_155.raw (F34)"	"Area: s06_158.raw (F35)"	"Area: s06_163.raw (F36)"	"Area: S06_171.raw (F37)"	"Area: syd_160.raw (F38)"	"Area: syd_n126.raw (F39)"	"Area: syd_n132.raw (F40)"	"Area: syd_n134.raw (F41)"	"Area: syd_n138.raw (F42)"	"Area: syd_n141.raw (F43)"	"Area: syd_n144.raw (F44)"	"Area: syd_n148.raw (F45)"	"Area: syd_n157.raw (F46)"	"Area: syd_n162.raw (F47)"	"Area: syd_n169.raw (F48)"	"Area: syd_n172.raw (F49)"	"Area: syd_o129.raw (F50)"	"Area: syd_o133.raw (F51)"	"Area: syd_o135.raw (F52)"	"Area: syd_o137.raw (F53)"	"Area: syd_o142.raw (F54)"	"Area: syd_o170.raw (F55)"
"False"	"TG(16:0_11:2_14:4)"	"C44 H75 N O6"	"No match"	"Invalid mass"	"713.55566"	"16.587"	"726457525.089887"	"Multiple matches found"	""	"80631044.0415929"	""	""	""	""	""	"178480363.73536"	"207667283.715129"	""	"278187021.985917"	"194012142.947527"	"281497052.268458"	"254164270.847901"	"144095669.969963"	""	""	""	""	""	""	""	""	""	""	""	"119306112.368381"	""	""	"118615653.485418"	"66670640.4227143"	"65367065.2170057"	"105914413.889814"	"86355428.5740101"	"48694497.0416831"	"124320915.955619"	"15653826.5293997"	""	""	""	""	"390251821.570674"	""	""	""	"205072740.98088"	"726457525.089887"	"587049008.56966"	""	""	""	"266138231.287735"	""	"528382046.376135"	""
"False"	"TG(16:0_16:0_18:2)"	"C53 H101 N O6"	"Invalid mass"	"Invalid mass"	"847.75838"	"21.023"	"647402901.747663"	"Multiple matches found"	"456118337.455825"	""	"372427141.451032"	""	"98312475.8831436"	"339199198.516306"	"612089725.072575"	""	""	""	""	""	"446716854.20902"	""	"224660972.9184"	"432270594.763378"	"353621936.295894"	"322249794.335475"	""	"491398684.172744"	"647402901.747663"	"19003493.4160887"	"327867615.931586"	""	""	"197665462.740125"	""	"472508068.931619"	"494566512.303422"	""	"521893899.566325"	""	""	""	""	"393996558.639692"	""	"378402475.437003"	""	""	"238485333.650637"	""	""	""	"351899882.643485"	""	"15069837.2725373"	"419948713.164801"	"483637221.41753"	""	"190815543.384896"	"407777048.058267"	"115694860.95763"	""	""
"False"	"TG(16:0_16:0_18:3)"	"C53 H99 N O6"	"No match"	"Full match"	"845.74301"	"20.667"	"627257078.467468"	"Multiple matches found"	"280913631.835676"	""	"369825544.558625"	"67677416.5482407"	"14373494.9258672"	"544532492.538046"	"349461298.153777"	"503572643.515411"	"227932626.888342"	"323716935.945701"	"274569001.134655"	"295555538.388296"	"429311745.189775"	"431287040.47815"	"268718275.899279"	"22331857.3133126"	"442757574.624793"	"311326165.503452"	"79579807.5500452"	""	"627257078.467468"	"239749067.322239"	"275026122.66686"	"130676867.079696"	"339118407.846024"	"151841163.698384"	""	"321028977.487392"	""	"497257114.446049"	""	"367226855.049783"	"110468905.136073"	"2653245.15003484"	"456736729.985559"	"428471322.469341"	""	""	"432685458.041345"	""	""	"412530180.850545"	"278828789.971005"	"224242814.972192"	"331288617.063324"	"261599953.96777"	"358387716.145926"	"573355006.004008"	"322975553.097902"	"130523851.24453"	""	"355224380.664821"	""	""	""
"False"	"TG(18:1_12:2_11:2)"	"C44 H77 N O6"	"No match"	"Invalid mass"	"715.57093"	"17.840"	"620286533.776716"	"Single match found"	""	""	""	""	""	""	""	""	""	""	"124326219.004727"	""	""	"97194838.8473714"	""	""	"96449326.6744485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"113089646.535915"	""	""	""	""	"101469684.437649"	""	"72471044.8393124"	""	""	""	"576076855.33887"	""	""	""	""	""	"620286533.776716"
"False"	"TG(16:0_16:0_18:1)"	"C53 H103 N O6"	"No match"	"Invalid mass"	"849.77417"	"21.375"	"589982863.271548"	"Single match found"	""	"301495766.607013"	""	"18117864.1548193"	"57508050.7025682"	""	"537198272.490622"	""	"390197188.609682"	"469984087.337159"	"521128452.790435"	"488735332.920808"	""	"589982863.271548"	""	""	"505549129.130843"	""	""	""	"406989111.363642"	"118095776.709027"	"271495480.914309"	"151909956.211831"	"268882928.554283"	"80854599.5402169"	""	""	""	"106375353.203259"	"307964869.576445"	""	""	"453610869.091503"	"499086950.613212"	"361284397.265566"	""	""	""	"124000175.15207"	"120963365.750318"	""	""	""	"190446292.561971"	""	"145193495.979646"	""	""	"173585716.940335"	""	""	"166166314.585612"	"314239337.885033"	"322615837.085536"
"False"	"TG(16:0_18:1_18:3)"	"C55 H101 N O6"	"No match"	"Invalid mass"	"871.75826"	"20.761"	"557764978.297381"	"Multiple matches found"	""	"172939092.150252"	""	""	""	""	""	""	""	""	""	"120493480.821784"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"183301615.246893"	""	""	""	""	""	"557764978.297381"	""	""	"344264895.431676"	""	""	""	""	""	""	""	"302713051.164515"	""	""	""	""	"423403971.121389"	"499179984.964284"
"False"	"TG(18:0_16:1_18:1)"	"C55 H105 N O6"	"No match"	"Invalid mass"	"875.78969"	"21.343"	"543347283.322315"	"Multiple matches found"	"543347283.322315"	""	"289839764.889019"	"221262070.803695"	"87746088.0072302"	"308929249.777127"	"530488832.482634"	""	"454312939.026845"	"255610106.502379"	"480854493.535023"	""	""	"299199642.662068"	"503683431.426209"	"399426646.80093"	""	"364487522.92144"	"435934085.140611"	"476832121.06044"	"447612804.599977"	"327413754.109717"	"481457189.890823"	""	""	""	""	""	"267649617.356649"	""	"453098282.282632"	""	"447574207.358755"	"169059561.044022"	""	"428680809.158533"	""	""	""	"294761280.362068"	"187278101.100397"	""	""	""	"340547619.335884"	""	"372439045.809006"	""	""	""	"491254386.914305"	""	"301749150.366201"	""	""
"False"	"TG(16:0_18:1_18:2)"	"C55 H103 N O6"	"Invalid mass"	"Invalid mass"	"873.77392"	"21.060"	"520736586.516904"	"Multiple matches found"	"387689170.117455"	""	"361052762.230675"	""	""	""	"31220773.1724264"	"428885352.360746"	"270591723.570371"	"287101209.460789"	"209600209.287336"	"276351146.673409"	"423304749.466456"	"258501999.952425"	""	""	"421922022.21902"	""	""	""	"461870627.028425"	"280645262.306328"	"280771402.034389"	"215446717.602351"	""	""	""	""	"17691205.6348403"	"490044119.695533"	""	""	""	""	"374136257.464724"	""	""	""	""	""	""	""	""	"276226111.002785"	""	""	""	""	""	""	""	""	""	"520736586.516904"	""
"False"	"TG(16:0_16:1_16:1)"	"C51 H97 N O6"	"Full match"	"Full match"	"819.72779"	"20.582"	"517837639.246725"	"Single match found"	""	"250257217.048733"	"423281519.617104"	"31873896.9905765"	"16845355.9990918"	"129697220.769263"	"310897575.778024"	""	""	""	"273546983.120279"	""	""	""	"248355450.544095"	"181215859.021195"	""	""	""	"177604997.713947"	""	"81335291.2366067"	"227178553.566652"	"16747257.6763317"	"119979527.406942"	"35177272.2484969"	"235788622.314102"	"170275310.427716"	"517837639.246725"	""	"207349459.770715"	""	""	""	""	""	"21473520.678848"	"279458632.074225"	"117942431.712878"	"64204091.8002717"	"45844713.0989836"	"298167949.339092"	"110828124.983917"	"151273657.632503"	"84938494.2698594"	""	"89125892.4428826"	"239065953.455364"	""	""	"313368744.474103"	""	"86123944.7276946"	""	""
"False"	"TG(16:0_16:1_6:0)"	"C41 H79 N O6"	"Full match"	"Full match"	"681.58752"	"17.528"	"481078369.750786"	"Single match found"	""	""	""	"22835643.2434091"	""	""	""	""	""	"481078369.750786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"409194852.276491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
