CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
CL(16:1_16:1_16:1_16:1),XIC,C73 H134 O17 P2,ESI,1343.9023545300001,H-Loss,-,1,18.90936496533805,,
CL(66:2),XIC,C75 H142 O17 P2,ESI,687.4788390299999,2H-Loss,-,2,7.957,,
CL(18:1_16:1_16:1_16:1),XIC,C75 H138 O17 P2,ESI,1371.93365453,H-Loss,-,1,19.52813791988065,,
CL(18:2_16:1_16:1_16:1),XIC,C75 H136 O17 P2,ESI,1369.9180045300002,H-Loss,-,1,19.038519312567356,,
CL(18:3_16:1_16:1_16:1),XIC,C75 H134 O17 P2,ESI,1367.9023545300001,H-Loss,-,1,18.584337348859464,,
CL(18:4_16:1_16:1_16:1),XIC,C75 H132 O17 P2,ESI,1365.88670453,H-Loss,-,1,18.910658553370055,,
CL(67:3),XIC,C76 H142 O17 P2,ESI,693.4788390299999,2H-Loss,-,2,1.906,,
CL(18:1_16:1_16:1_18:1),XIC,C77 H142 O17 P2,ESI,1399.96495453,H-Loss,-,1,20.064435793078662,,
CL(18:2_16:1_18:1_16:1),XIC,C77 H140 O17 P2,ESI,1397.94930453,H-Loss,-,1,19.6432572652185,,
CL(18:2_16:1_16:1_18:2),XIC,C77 H138 O17 P2,ESI,1395.93365453,H-Loss,-,1,19.16267227818165,,
CL(18:3_16:1_18:2_16:1),XIC,C77 H136 O17 P2,ESI,1393.9180045300002,H-Loss,-,1,18.715997735146992,,
CL(18:4_18:1_16:1_16:1),XIC,C77 H136 O17 P2,ESI,1393.9180045300002,H-Loss,-,1,19.511,,
CL(20:5_16:1_16:1_16:1),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,18.238089763646926,,
CL(18:4_16:1_16:1_18:2),XIC,C77 H134 O17 P2,ESI,1391.9023545300001,H-Loss,-,1,19.04756763731816,,
CL(22:6_14:1_16:1_16:1),XIC,C77 H132 O17 P2,ESI,1389.88670453,H-Loss,-,1,18.57316942952868,,
CL(18:3_16:1_14:0_22:6),XIC,C79 H134 O17 P2,ESI,1415.9023545300001,H-Loss,-,1,17.865540468373755,,
CL(18:3_22:6_14:0_16:1),XIC,C79 H134 O17 P2,ESI,1415.9023545300001,H-Loss,-,1,18.720810342065715,,
CL(18:3_16:1_14:1_22:6),XIC,C79 H132 O17 P2,ESI,1413.88670453,H-Loss,-,1,18.227,,
CL(19:0_18:1_15:0_18:1),XIC,C79 H150 O17 P2,ESI,715.5101390299999,2H-Loss,-,2,9.814830727670294,,
CL(18:1_16:1_18:2_18:2),XIC,C79 H142 O17 P2,ESI,1423.96495453,H-Loss,-,1,19.75461999190922,,
CL(18:2_16:1_18:2_18:2),XIC,C79 H140 O17 P2,ESI,1421.94930453,H-Loss,-,1,19.30298944523723,,
CL(18:3_18:2_16:1_18:2),XIC,C79 H138 O17 P2,ESI,1419.93365453,H-Loss,-,1,18.843953665472128,,
CL(18:3_16:1_16:1_20:4),XIC,C79 H136 O17 P2,ESI,1417.9180045300002,H-Loss,-,1,18.375656262752205,,
CL(20:5_16:1_16:1_18:2),XIC,C79 H136 O17 P2,ESI,1417.9180045300002,H-Loss,-,1,19.17168097458695,,
CL(18:3_18:2_16:1_20:4),XIC,C81 H138 O17 P2,ESI,1443.93365453,H-Loss,-,1,18.522084062344543,,
